instance,n,m,average_uni,average_bi
514,8987,88564,4452.45,172.8
515,2087,20575,883.75,47.95
516,2672,24793,1487.8,60.6
517,5885,57883,2104.0,206.65
518,8522,83657,4325.6,82.7
519,1806,17937,923.85,71.95
52,1177,11166,675.55,69.35
520,7927,78905,4367.7,2354.9
521,5316,52119,2715.0,137.7
522,1754,16914,1007.6,69.95
523,3152,30436,1762.8,185.6
524,1470,14521,656.5,48.6
525,8976,88187,4120.95,250.6
526,2452,24536,1203.65,607.8
527,3531,35308,1529.0,773.7
528,4683,46908,2707.85,122.6
529,8408,84434,3699.45,1856.25
53,8303,82724,4520.45,2383.05
530,4112,40153,2221.1,177.55
531,6765,66114,2115.25,172.55
532,9751,96839,4930.3,97.5
533,5885,58661,2860.15,1477.65
534,2451,23667,1043.8,49.0
535,3613,35069,2097.0,52.75
536,9278,92514,3566.0,129.0
537,653,6511,348.05,194.0
538,8268,82730,4891.2,143.65
539,4154,41294,1928.05,1028.6
54,8700,86944,3293.25,1737.75
540,4972,48525,3345.25,195.3
541,1936,19321,876.05,491.8
542,4660,46483,2082.1,1103.6
543,5247,52388,2482.8,130.95
544,9732,95852,3808.35,209.85
545,1184,11916,544.35,52.5
546,9070,87863,5760.4,151.4
547,3155,31598,1735.65,89.8
548,2208,21884,1008.15,516.2
549,5959,59718,2658.2,134.1
55,3060,29741,1868.05,164.45
550,9726,97918,4301.8,169.0
551,3460,34373,1215.9,100.4
552,1834,17521,910.05,51.35
553,5085,49867,2454.45,209.7
554,8610,86137,4939.75,164.35
555,792,7949,318.95,39.95
556,966,9313,477.35,77.45
557,6930,69395,3275.45,123.8
558,7873,78381,4319.75,2222.35
559,5060,49934,1751.55,53.4
56,8072,79012,3926.7,167.3
560,8955,89675,4103.25,2108.7
561,9457,94418,4828.1,2499.7
562,8841,88936,4809.4,171.35
563,7200,70560,3849.15,212.4
564,5888,59297,2604.15,129.2
565,9512,92995,6449.7,218.55
566,2623,26015,1019.0,74.2
567,2106,20252,1173.7,125.35
568,7028,70138,3774.2,2043.15
569,6187,61984,2887.25,129.55
57,4599,45854,2520.55,1371.85
570,6077,61018,3540.8,139.95
571,4632,45894,2770.65,133.3
572,6984,70085,3507.6,1857.65
573,3978,39093,2054.25,181.6
574,3505,34277,1744.05,65.5
575,568,5252,317.7,69.8
576,9057,89315,4822.35,131.95
577,2191,21951,1171.35,88.0
578,2095,20303,884.25,113.3
579,3782,37439,1486.05,44.05
58,908,8817,448.8,78.7
580,7041,68792,3542.35,268.75
581,9128,89406,4187.35,113.65
582,9796,97931,4918.15,156.1
583,8734,85438,4753.1,106.25
584,8932,87423,4193.95,258.4
585,3484,34834,1539.65,758.85
586,5287,52887,2670.1,1363.25
587,632,6099,341.7,61.2
588,775,7375,364.2,64.2
589,1456,14160,740.7,73.65
59,4579,45846,1767.45,130.15
590,6124,59646,3812.45,326.45
591,5126,50057,2172.0,165.3
592,7848,76754,4443.3,244.6
593,4906,48536,3101.6,105.6
594,5789,56503,3122.95,247.25
595,2383,23373,1184.7,126.1
596,5178,51400,2837.25,1472.6
597,4891,47882,2756.65,46.35
598,2620,25406,1265.45,45.3
599,9305,93194,4141.45,148.15
6,4738,47461,2418.75,141.65
60,9042,88587,3774.3,236.65
600,4301,41898,2046.9,47.15
601,7344,71965,4049.45,324.7
602,4769,47316,2798.2,139.95
603,4840,48507,3149.55,128.45
604,3484,34595,1515.6,811.8
605,1710,16967,721.0,375.2
606,7235,70355,2387.7,203.35
607,2131,21341,1195.65,628.6
608,8668,86613,4430.6,2216.35
609,8983,88909,3698.95,105.9
61,3592,35963,1529.25,91.35
610,6305,63127,3501.35,1780.6
611,1389,13363,723.6,87.85
612,1009,9632,473.65,81.3
613,4450,44685,2315.7,1205.3
614,8330,83218,3432.35,141.6
615,3093,31040,1463.7,749.4
616,5738,57405,2710.55,146.75
617,3735,37456,1887.8,973.1
618,1395,13864,656.55,66.3
619,5658,55499,2457.85,59.5
62,6061,59237,2910.05,223.35
620,1281,12640,750.15,64.1
621,1181,11849,591.9,59.3
622,4480,44734,2455.3,128.7
623,9426,92375,4206.5,246.2
624,5543,55224,2792.1,1457.45
625,612,5961,310.3,42.85
626,7169,69207,4158.95,157.5
627,8240,81983,5069.9,182.25
628,4021,39426,2426.1,200.8
629,8163,79588,4248.05,112.15
63,3773,37830,1803.85,90.55
630,2197,21200,1233.8,30.5
631,1798,17872,797.65,431.25
632,1034,10434,644.3,346.9
633,5940,59252,3429.25,1887.95
634,4195,42277,1835.25,95.25
635,9432,94405,4298.05,151.3
636,4732,46108,2311.35,192.45
637,2115,21199,1102.8,599.5
638,7418,73135,4398.0,130.9
639,9163,89517,5075.45,305.7
64,1452,14419,806.5,69.5
640,8990,88951,4762.2,195.05
641,5816,58144,2761.2,112.25
642,1892,18262,980.55,104.65
643,976,9628,449.0,239.8
644,6035,59836,3480.8,1873.9
645,6341,61890,3332.05,228.45
646,6599,64398,3616.75,277.6
647,3956,39229,2052.7,118.25
648,3522,35181,1345.6,101.25
649,4830,47270,2490.5,68.15
65,7468,73036,4244.4,297.7
650,7108,70862,3411.45,126.8
651,7395,74016,4416.75,183.0
652,3333,33506,1974.0,105.45
653,9655,96386,5329.65,194.35
654,7615,74585,3677.95,225.0
655,9236,91131,3716.8,78.5
656,3413,33875,1728.75,98.95
657,8641,85957,3282.6,1644.25
658,2682,27012,1332.4,87.95
659,8268,81582,3862.85,123.5
66,6533,65385,3208.0,122.75
660,2846,28521,1289.7,91.35
661,3837,38006,1645.7,70.0
662,7083,69407,4044.4,257.05
663,2613,26238,1360.95,769.7
664,4153,41315,2152.4,119.05
665,7422,74307,4379.8,167.65
666,8161,79976,5019.05,328.0
667,2364,23108,928.5,123.65
668,9689,94916,4808.7,311.55
669,4892,48529,2736.55,1453.75
67,9561,95127,4238.45,2293.15
670,6798,67821,4501.95,151.0
671,8238,80630,4627.05,215.45
672,9307,92259,4286.5,2094.55
673,1577,15645,814.55,429.6
674,618,6047,320.9,25.0
675,9318,91757,4564.4,278.5
676,2472,23912,1408.7,158.25
677,6020,60404,2949.7,171.85
678,7585,73707,4277.45,274.5
679,5689,55598,3630.55,249.8
68,9234,90188,4273.65,271.65
680,1525,14803,780.6,104.1
681,5821,58112,3032.6,127.35
682,9235,90076,3915.1,275.9
683,1640,16211,873.8,84.8
684,9783,97805,5821.95,182.9
685,1938,19147,1094.4,586.4
686,7754,78201,3986.75,167.2
687,5771,57773,3339.45,129.1
688,4518,45686,2274.8,105.25
689,9105,91082,4285.25,174.15
69,9294,91612,4046.2,75.85
690,2276,21933,1283.85,94.0
691,7084,70670,3701.1,2020.5
692,2352,22812,1232.9,114.7
693,5025,50235,3111.25,1643.25
694,1592,15802,1005.7,75.85
695,2050,20384,900.8,78.45
696,3396,33499,1327.2,52.3
697,5836,58182,3127.15,134.15
698,7996,80251,3742.45,135.7
699,5481,54083,3326.0,280.05
7,3080,29981,1399.75,150.1
70,2075,20699,1330.3,711.2
700,5362,53514,2508.7,1278.7
701,3418,32884,2006.05,124.95
702,3414,34145,1839.25,979.65
703,8840,87067,4231.2,250.25
704,9841,98572,6172.75,168.95
705,1179,11454,568.55,96.95
706,2409,23548,1213.35,53.1
707,9894,99384,5417.95,166.15
708,9250,90953,4453.6,271.5
709,4138,41153,2124.1,1093.9
71,9193,91745,4274.35,143.95
710,8923,87495,4254.45,67.15
711,7452,74502,2517.1,1312.95
712,4384,43666,1776.55,877.05
713,9111,90413,4894.1,78.55
714,7932,77667,4391.55,120.05
715,3097,30944,1380.5,750.25
716,2973,28942,1519.05,189.2
717,2302,22887,1160.25,36.75
718,5699,55988,2784.25,192.95
719,7622,76346,4332.6,2362.5
72,7795,77874,3989.55,2065.3
720,4767,46821,2562.3,83.75
721,3720,36348,1394.95,29.05
722,6883,67217,3853.75,280.05
723,4738,47119,2164.55,1123.85
724,4106,41065,2055.15,106.45
725,4670,45538,2263.6,193.55
726,5991,60220,2581.6,1363.9
727,7792,76441,4073.4,265.0
728,3183,31309,1548.95,24.5
729,7539,73534,3564.35,268.8
73,1093,10626,516.85,59.75
730,4884,48768,2701.45,1390.7
731,9960,99598,3970.3,157.45
732,1893,18564,807.15,98.55
733,3627,35729,1921.5,166.5
734,9263,92461,4949.5,188.4
735,1027,9971,512.0,24.85
736,6330,61910,3146.0,167.85
737,6322,62964,3132.15,133.35
738,1296,12591,569.7,51.15
739,1137,10492,651.1,61.3
74,7686,75344,3314.0,230.25
740,8631,86655,4405.35,2372.8
741,5359,52137,2770.35,69.6
742,1273,12317,526.2,38.1
743,2614,25925,1176.45,95.15
744,1287,12514,507.6,72.4
745,7092,70585,3339.05,74.6
746,2431,24215,1186.8,616.05
747,9148,89868,4235.8,235.4
748,1360,13352,633.95,59.75
749,7362,73508,3432.3,1764.3
75,5633,56171,2454.95,1321.5
750,8590,85716,4624.2,137.35
751,559,5530,300.35,46.35
752,3744,36771,1253.0,36.1
753,1243,12561,796.75,453.55
754,4044,40288,1948.05,79.95
755,9941,99392,4548.9,2299.05
756,2594,25811,1349.35,720.9
757,4856,48941,1709.7,105.45
758,1891,18658,945.05,79.0
759,8481,84619,3999.7,131.25
76,7198,71576,2942.45,1493.6
760,2915,28545,1411.55,83.4
761,9000,87945,4826.75,332.05
762,6980,68258,2841.0,229.95
763,1950,19696,1097.7,82.25
764,7471,74905,3434.5,1739.85
765,3165,31919,1471.5,80.5
766,1327,12783,663.2,42.9
767,6411,64149,3240.05,124.5
768,3231,32181,1301.85,701.7
769,1211,12155,593.0,54.25
77,1917,19132,834.6,66.15
770,935,9015,613.3,82.85
771,6478,65178,3083.55,1538.3
772,9983,98954,4422.85,182.2
773,1899,17836,1045.45,37.6
774,3878,37676,1579.25,60.25
775,7870,78510,4358.7,2227.75
776,4274,42236,1740.45,32.9
777,9192,91534,4696.85,97.9
778,1145,11496,575.6,302.95
779,5732,55788,2497.3,225.0
78,3060,30624,1246.35,650.55
780,1842,18392,670.05,52.05
781,4699,46650,2144.7,122.9
782,9951,97831,5072.45,157.15
783,4050,39595,2000.75,162.1
784,4435,44278,2851.85,1593.7
785,9604,94135,4586.05,282.35
786,5768,56291,3216.6,279.5
787,8731,86547,4182.15,2105.75
788,3127,29740,1829.6,103.25
789,1928,18721,883.15,103.5
79,2926,29359,1538.25,81.75
790,3139,31620,1772.5,907.25
791,2894,28019,1333.25,137.9
792,3223,31651,1681.9,171.35
793,8000,78284,2951.2,218.2
794,9722,95093,4240.05,316.4
795,3834,37155,1965.9,69.05
796,5253,51805,3134.9,54.1
797,8928,89560,4797.6,2463.3
798,848,8183,402.95,37.05
799,3633,35405,2134.5,202.45
8,1266,12604,673.6,345.1
80,5734,57646,2647.0,94.15
81,6688,66968,3502.1,1810.45
82,2477,24668,1252.75,656.75
83,6763,67905,3647.25,125.85
84,6469,64696,4089.85,2110.4
85,6205,62072,2254.15,135.95
86,8412,82372,4352.85,294.85
87,839,8328,426.3,51.85
88,4008,40070,2176.05,106.7
89,3544,35491,1641.45,870.85
9,6365,63752,2454.65,112.15
90,2940,29027,1578.8,127.15
91,1873,18132,790.0,88.65
92,6758,65563,3006.6,188.85
93,3837,37499,1820.6,139.4
94,1447,14486,637.15,53.95
95,4630,46590,2822.25,110.8
96,532,5377,223.85,35.25
97,4829,46848,2391.45,110.0
98,678,6692,412.25,227.0
99,4987,50007,1577.55,813.3
